Name,height,weight,birthdate,experience,bmi
josh mcroberts,82.0,240.0,1987-02-28,11,25.09220701963117
kyrylo fesenko,85.0,280.0,1986-12-24,6,27.244290657439446
derrick byars,79.0,220.0,1984-04-25,2,24.78128505047268
dominic mcguire,81.0,235.0,1985-10-20,7,25.17985063252553
marc gasol,83.0,255.0,1985-01-29,14,26.02191900130643
aaron gray,84.0,270.0,1984-12-07,7,26.900510204081634
ramon sessions,75.0,190.0,1986-04-11,12,23.74577777777778
joel anthony,81.0,245.0,1982-08-09,11,26.251333638164915
mustafa shakur,75.0,190.0,1984-08-18,3,23.74577777777778
darryl watkins,83.0,258.0,1984-11-08,3,26.328059224851213
c.j. watson,74.0,175.0,1984-04-17,11,22.466216216216218
anthony tolliver,80.0,240.0,1985-06-01,14,26.3625
trey johnson,77.0,215.0,1984-08-30,3,25.492494518468543
mario west,77.0,210.0,1984-06-19,5,24.899645808736718
ivan johnson,80.0,255.0,1984-04-10,3,28.01015625
andre ingram,75.0,190.0,1985-11-19,2,23.74577777777778
eric dawson,81.0,250.0,1984-07-07,2,26.787075140984605
carldell johnson,70.0,180.0,1983-01-28,2,25.824489795918367
blake ahearn,74.0,190.0,1984-05-27,4,24.39189189189189
michael beasley,81.0,235.0,1989-01-09,12,25.17985063252553
o.j. mayo,77.0,210.0,1987-11-05,9,24.899645808736718
derrick rose,75.0,200.0,1988-10-04,16,24.995555555555555
russell westbrook,76.0,200.0,1988-11-12,17,24.342105263157894
kevin love,82.0,251.0,1988-09-07,17,26.242266508030934
danilo gallinari,82.0,236.0,1988-08-08,15,24.674003569303984
eric gordon,75.0,215.0,1988-12-25,17,26.87022222222222
d.j. augustin,71.0,183.0,1987-11-10,15,25.52053164054751
brook lopez,85.0,282.0,1988-04-01,17,27.438892733564014
jerryd bayless,75.0,200.0,1988-08-20,12,24.995555555555555
jason thompson,83.0,250.0,1986-07-21,9,25.51168529539846
brandon rush,78.0,225.0,1985-07-07,10,25.99852071005917
anthony randolph,,,1989-07-15,6,
robin lopez,85.0,281.0,1988-04-01,16,27.34159169550173
marreese speights,82.0,255.0,1987-08-04,11,26.66046995835812
roy hibbert,86.0,270.0,1986-12-11,10,25.663872363439697
javale mcgee,84.0,270.0,1988-01-19,17,26.900510204081634
jj hickson,81.0,242.0,1988-09-04,9,25.9298887364731
alexis ajinca,86.0,248.0,1988-05-06,8,23.57274202271498
ryan anderson,81.0,240.0,1988-05-06,12,25.715592135345222
courtney lee,77.0,215.0,1985-10-03,13,25.492494518468543
kosta koufos,84.0,245.0,1989-02-24,12,24.40972222222222
serge ibaka,83.0,235.0,1989-09-18,14,23.980984177674554
nicolas batum,79.0,230.0,1988-12-14,17,25.90770709822144
george hill,76.0,188.0,1986-05-04,16,22.88157894736842
darrell arthur,81.0,235.0,1988-03-25,10,25.17985063252553
donte greene,83.0,226.0,1988-02-21,6,23.06256350704021
dj white,81.0,250.0,1986-08-31,6,26.787075140984605
nikola pekovic,83.0,307.0,1986-01-03,7,31.32834954274931
joey dorsey,,,1983-12-16,4,
deandre jordan,83.0,265.0,1988-07-21,17,27.04238641312237
mario chalmers,74.0,190.0,1986-05-19,10,24.39189189189189
omer asik,84.0,255.0,1986-07-04,9,25.406037414965986
luc mbah a moute,80.0,230.0,1986-09-09,13,25.2640625
kyle weaver,78.0,201.0,1986-02-18,3,23.22534516765286
sonny weems,78.0,205.0,1986-07-08,4,23.687541091387246
goran dragic,76.0,190.0,1986-05-06,16,23.125
chris douglas-roberts,79.0,210.0,1987-01-08,7,23.65486300272392
henry walker,78.0,235.0,1987-10-09,5,27.154010519395136
darnell jackson,81.0,253.0,1985-11-07,4,27.10852004267642
sasha kaun,83.0,260.0,1985-05-08,2,26.5321527072144
semih erden,84.0,240.0,1986-07-28,3,23.91156462585034
anthony morrow,77.0,210.0,1985-09-27,10,24.899645808736718
bobby brown,74.0,175.0,1984-09-24,4,22.466216216216218
hamed haddadi,86.0,265.0,1985-05-19,6,25.188615467820444
othyus jeffers,77.0,210.0,1985-08-05,3,24.899645808736718
gary forbes,79.0,220.0,1985-02-25,3,24.78128505047268
cartier martin,79.0,220.0,1984-11-20,8,24.78128505047268
blake griffin,81.0,250.0,1989-03-16,14,26.787075140984605
greg stiemsma,83.0,260.0,1985-09-26,5,26.5321527072144
hasheem thabeet,87.0,263.0,1987-02-16,5,24.427137006209538
james harden,77.0,220.0,1989-08-26,16,26.085343228200372
tyreke evans,78.0,220.0,1989-09-19,10,25.42077580539119
ricky rubio,74.0,190.0,1990-10-21,13,24.39189189189189
stephen curry,74.0,185.0,1988-03-14,16,23.75
jonny flynn,72.0,185.0,1989-02-06,4,25.087770061728396
jordan hill,82.0,240.0,1987-07-27,9,25.09220701963117
demar derozan,78.0,220.0,1989-08-07,16,25.42077580539119
brandon jennings,73.0,170.0,1989-09-23,9,22.426346406455245
terrence williams,78.0,220.0,1987-06-28,5,25.42077580539119
gerald henderson,74.0,175.0,1956-01-16,13,22.466216216216218
tyler hansbrough,,,1985-11-03,8,
earl clark,82.0,234.0,1988-01-17,6,24.464901844140392
austin daye,83.0,220.0,1988-06-05,7,22.450283059950646
james johnson,79.0,240.0,1987-02-20,17,27.034129145970198
jrue holiday,76.0,220.0,1990-06-12,16,26.776315789473685
ty lawson,71.0,195.0,1987-11-03,10,27.194009125173576
jeff teague,75.0,195.0,1988-06-10,13,24.370666666666665
eric maynor,75.0,175.0,1987-06-11,5,21.871111111111112
darren collison,72.0,160.0,1987-08-23,11,21.69753086419753
omri casspi,81.0,225.0,1988-06-22,10,24.108367626886146
byron mullens,84.0,275.0,1989-02-14,5,27.398667800453516
rodrigue beaubois,74.0,185.0,1988-02-24,5,23.75
taj gibson,81.0,232.0,1985-06-24,16,24.858405730833713
demarre carroll,78.0,215.0,1986-07-27,12,24.843030900723207
wayne ellington,76.0,207.0,1987-11-29,14,25.19407894736842
toney douglas,74.0,195.0,1986-03-16,8,25.033783783783782
christian eyenga,79.0,210.0,1989-06-22,3,23.65486300272392
victor claver,,,1988-08-30,3,
jeff ayres,81.0,250.0,1987-04-29,7,26.787075140984605
jermaine taylor,76.0,210.0,1986-12-08,2,25.55921052631579
dante cunningham,80.0,230.0,1987-04-22,11,25.2640625
dajuan summers,80.0,240.0,1988-01-24,5,26.3625
sam young,78.0,225.0,1985-06-01,5,25.99852071005917
dejuan blair,79.0,270.0,1989-04-22,7,30.41339528921647
jon brockman,79.0,255.0,1987-03-20,4,28.723762217593336
jonas jerebko,82.0,231.0,1987-03-02,10,24.151249256395005
derrick brown,80.0,233.0,1987-09-08,4,25.59359375
jodie meeks,76.0,210.0,1987-08-21,11,25.55921052631579
patrick beverley,74.0,180.0,1988-07-12,13,23.10810810810811
marcus thornton,76.0,205.0,1987-06-05,8,24.950657894736842
chase budinger,79.0,209.0,1988-05-22,8,23.542220797949046
nick calathes,78.0,213.0,1989-02-07,2,24.611932938856015
danny green,78.0,215.0,1987-06-22,15,24.843030900723207
aj price,74.0,195.0,1986-10-07,6,25.033783783783782
nando de colo,77.0,195.0,1987-06-23,3,23.12109967954124
patty mills,74.0,180.0,1988-08-11,17,23.10810810810811
lester hudson,75.0,190.0,1984-08-07,5,23.74577777777778
garrett temple,77.0,195.0,1986-05-08,15,23.12109967954124
jerel mcneal,75.0,200.0,1987-06-01,3,24.995555555555555
garret siler,83.0,305.0,1986-10-25,2,31.124256060386124
larry owens,79.0,210.0,1983-01-08,2,23.65486300272392
wesley matthews,77.0,220.0,1986-10-14,16,26.085343228200372
alonzo gee,78.0,225.0,1987-05-29,8,25.99852071005917
dionte christmas,,,1986-09-15,2,
reggie williams,,,1964-03-05,10,
mickell gladness,83.0,220.0,1986-07-26,2,22.450283059950646
sundiata gaines,73.0,200.0,1986-04-18,4,26.383936948770877
shane edwards,79.0,220.0,1987-05-31,1,24.78128505047268
zabian dowdell,75.0,191.0,1984-09-10,2,23.870755555555554
terrel harris,76.0,190.0,1987-08-10,3,23.125
john wall,75.0,210.0,1990-09-06,11,26.245333333333335
evan turner,78.0,220.0,1988-10-27,11,25.42077580539119
derrick favors,81.0,265.0,1991-07-15,13,28.39429964944368
wesley johnson,79.0,215.0,1987-07-11,10,24.218074026598302
demarcus cousins,82.0,270.0,1990-08-13,12,28.22873289708507
ekpe udoh,82.0,245.0,1987-05-20,8,25.614961332540155
greg monroe,82.0,250.0,1990-06-04,11,26.137715645449138
al-farouq aminu,80.0,220.0,1990-09-21,12,24.165625
gordon hayward,79.0,225.0,1990-03-23,15,25.34449607434706
paul george,80.0,230.0,1990-05-02,15,25.2640625
cole aldrich,83.0,253.0,1988-10-31,9,25.81782551894324
xavier henry,78.0,220.0,1991-03-15,6,25.42077580539119
ed davis,81.0,218.0,1989-06-05,13,23.358329522938575
patrick patterson,80.0,235.0,1989-03-14,12,25.81328125
larry sanders,83.0,230.0,1988-11-21,6,23.470750471766586
kevin seraphin,82.0,278.0,1989-12-07,8,29.06513979773944
luke babbitt,81.0,225.0,1989-06-20,9,24.108367626886146
avery bradley,75.0,180.0,1990-11-26,13,22.496
eric bledsoe,73.0,214.0,1989-12-09,13,28.23081253518484
james anderson,78.0,213.0,1989-03-25,6,24.611932938856015
craig brackins,82.0,230.0,1987-10-09,3,24.046698393813205
elliot williams,77.0,190.0,1989-06-20,6,22.528250969809413
trevor booker,80.0,228.0,1987-11-25,8,25.044375
damion james,79.0,225.0,1987-10-07,4,25.34449607434706
dominique jones,77.0,215.0,1988-10-15,3,25.492494518468543
quincy pondexter,79.0,230.0,1988-03-10,8,25.90770709822144
jordan crawford,77.0,195.0,1988-10-23,6,23.12109967954124
greivis vasquez,78.0,217.0,1987-01-16,7,25.074128862590403
daniel orton,82.0,275.0,1990-08-06,3,28.75148720999405
