PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,Injury
Kristaps Porzingis,Celtics,25 February 2025,26 February 2025,1,Illness
Walker Kessler,Jazz,24 February 2025,26 February 2025,2,Illness
Jonathan Isaac,Magic,21 February 2025,23 February 2025,2,Illness
Andrew Wiggins,Heat,13 February 2025,20 February 2025,7,Illness
Jamal Cain,Pelicans,12 February 2025,20 February 2025,8,Illness
Terry Rozier,Heat,12 February 2025,20 February 2025,8,Illness
Lonzo Ball,Bulls,08 February 2025,19 February 2025,11,Illness
Duncan Robinson,Heat,12 February 2025,13 February 2025,1,Illness
Jaime Jaquez Jr.,Heat,10 February 2025,12 February 2025,2,Illness
Tyler Herro,Heat,10 February 2025,12 February 2025,2,Illness
Jose Alvarado,Pelicans,05 February 2025,07 February 2025,2,Illness
TyTy Washington Jr.,Suns,05 February 2025,07 February 2025,2,Illness
Chris Boucher,Raptors,04 February 2025,05 February 2025,1,Illness
Caleb Houstan,Magic,03 February 2025,04 February 2025,1,Illness
Jalen Smith,Bulls,02 February 2025,04 February 2025,2,Illness
Jock Landale,Rockets,03 February 2025,04 February 2025,1,Illness
Anthony Edwards,Timberwolves,01 February 2025,03 February 2025,2,Illness
Jordan Hawkins,Pelicans,29 January 2025,03 February 2025,5,Illness
Payton Pritchard,Celtics,02 February 2025,03 February 2025,1,Illness
Victor Wembanyama,Spurs,01 February 2025,03 February 2025,2,Illness
Zion Williamson,Pelicans,31 January 2025,02 February 2025,2,Illness
Bennedict Mathurin,Pacers,29 January 2025,31 January 2025,2,Illness
Doug McDermott,Kings,29 January 2025,31 January 2025,2,Illness
Gradey Dick,Raptors,29 January 2025,31 January 2025,2,Illness
John Collins,Jazz,24 January 2025,30 January 2025,6,Illness
Naz Reid,Timberwolves,29 January 2025,30 January 2025,1,Illness
Sam Merrill,Cavaliers,29 January 2025,30 January 2025,1,Illness
Naji Marshall,Mavericks,22 January 2025,29 January 2025,7,Illness
Cam Whitmore,Rockets,27 January 2025,28 January 2025,1,Illness
Jaime Jaquez Jr.,Heat,27 January 2025,28 January 2025,1,Illness
De'Andre Hunter,Hawks,25 January 2025,27 January 2025,2,Illness
Santi Aldama,Grizzlies,24 January 2025,27 January 2025,3,Illness
Ben Simmons,Nets,19 January 2025,25 January 2025,6,Illness
Cole Anthony,Magic,21 January 2025,25 January 2025,4,Illness
Isaiah Joe,Thunder,22 January 2025,25 January 2025,3,Illness
Ja Morant,Grizzlies,24 January 2025,25 January 2025,1,Illness
Micah Potter,Jazz,21 January 2025,25 January 2025,4,Illness
Jusuf Nurkic,Suns,12 January 2025,24 January 2025,12,Illness
Zion Williamson,Pelicans,20 January 2025,24 January 2025,4,Illness
Kristaps Porzingis,Celtics,22 January 2025,23 January 2025,1,Illness
Toumani Camara,Blazers,21 January 2025,23 January 2025,2,Illness
Micah Potter,Jazz,16 January 2025,20 January 2025,4,Illness
Draymond Green,Warriors,13 January 2025,18 January 2025,5,Illness
Robert Williams,Blazers,11 January 2025,16 January 2025,5,Illness
Ty Jerome,Cavaliers,12 January 2025,16 January 2025,4,Illness
DaQuan Jeffries,Hornets,12 January 2025,15 January 2025,3,Illness
Brice Sensabaugh,Jazz,07 January 2025,12 January 2025,5,Illness
Markieff Morris,Mavericks,09 January 2025,11 January 2025,2,Illness
Myles Turner,Pacers,08 January 2025,10 January 2025,2,Illness
Nikola Jokic,Nuggets,07 January 2025,10 January 2025,3,Illness
Ausar Thompson,Pistons,06 January 2025,09 January 2025,3,Illness
Day'Ron Sharpe,Nets,08 January 2025,09 January 2025,1,Illness
Derrick White,Celtics,07 January 2025,09 January 2025,2,Illness
Josh Minott,Timberwolves,04 January 2025,06 January 2025,2,Illness
Tyus Jones,Suns,04 January 2025,05 January 2025,1,Illness
Kyrie Irving,Mavericks,03 January 2025,04 January 2025,1,Illness
Dyson Daniels,Hawks,28 December 2024,01 January 2025,4,Illness
Davion Mitchell,Raptors,29 December 2024,31 December 2024,2,Illness
Jae'Sean Tate,Rockets,29 December 2024,31 December 2024,2,Illness
Klay Thompson,Mavericks,30 December 2024,31 December 2024,1,Illness
LeBron James,Lakers,28 December 2024,31 December 2024,3,Illness
Kevin Porter Jr.,Clippers,27 December 2024,30 December 2024,3,Illness
Chris Livingston,Bucks,25 December 2024,28 December 2024,3,Illness
Domantas Sabonis,Kings,26 December 2024,28 December 2024,2,Illness
Lonzo Ball,Bulls,23 December 2024,28 December 2024,5,Illness
Jayson Tatum,Celtics,23 December 2024,25 December 2024,2,Illness
RJ Barrett,Raptors,19 December 2024,23 December 2024,4,Illness
Xavier Tillman,Celtics,19 December 2024,20 December 2024,1,Illness
Deandre Ayton,Blazers,13 December 2024,19 December 2024,6,Illness
Nikola Vucevic,Bulls,13 December 2024,16 December 2024,3,Illness
Maxi Kleber,Mavericks,07 December 2024,14 December 2024,7,Illness
PJ Washington,Mavericks,10 December 2024,14 December 2024,4,Illness
Moussa Diabate,Hornets,07 December 2024,12 December 2024,5,Illness
Naji Marshall,Mavericks,01 December 2024,10 December 2024,9,Illness
Jakob Poeltl,Raptors,05 December 2024,07 December 2024,2,Illness
Micah Potter,Jazz,03 December 2024,05 December 2024,2,Illness
Ty Jerome,Cavaliers,03 December 2024,05 December 2024,2,Illness
Josh Richardson,Heat,30 November 2024,04 December 2024,4,Illness
Cam Reddish,Lakers,01 December 2024,02 December 2024,1,Illness
D'Angelo Russell,Lakers,01 December 2024,02 December 2024,1,Illness
Jaylen Brown,Celtics,01 December 2024,02 December 2024,1,Illness
Daniel Gafford,Mavericks,27 November 2024,29 November 2024,2,Illness
Al Horford,Celtics,25 November 2024,28 November 2024,3,Illness
Jonathan Kuminga,Warriors,23 November 2024,27 November 2024,4,Illness
Quentin Grimes,Mavericks,25 November 2024,27 November 2024,2,Illness
Julian Phillips,Bulls,23 November 2024,26 November 2024,3,Illness
Al Horford,Celtics,22 November 2024,24 November 2024,2,Illness
Marcus Smart,Grizzlies,17 November 2024,24 November 2024,7,Illness
Anfernee Simons,Blazers,13 November 2024,22 November 2024,9,Illness
John Konchar,Grizzlies,20 November 2024,22 November 2024,2,Illness
Kevon Looney,Warriors,18 November 2024,20 November 2024,2,Illness
Miles McBride,Knicks,15 November 2024,17 November 2024,2,Illness
Andre Drummond,76ers,13 November 2024,15 November 2024,2,Illness
Jalen Smith,Bulls,11 November 2024,13 November 2024,2,Illness
Torrey Craig,Bulls,09 November 2024,11 November 2024,2,Illness
T.J. McConnell,Pacers,08 November 2024,10 November 2024,2,Illness
Brandin Podziemski,Warriors,06 November 2024,08 November 2024,2,Illness
Dean Wade,Cavaliers,04 November 2024,08 November 2024,4,Illness
Marvin Bagley III,Wizards,04 November 2024,08 November 2024,4,Illness
Rui Hachimura,Lakers,06 November 2024,08 November 2024,2,Illness
Kevin Huerter,Kings,02 November 2024,06 November 2024,4,Illness
Marjon Beauchamp,Bucks,03 November 2024,06 November 2024,3,Illness
Drew Eubanks,Jazz,28 October 2024,29 October 2024,1,Illness
Jalen Hood-Schifino,Lakers,25 October 2024,27 October 2024,2,Illness
Zion Williamson,Pelicans,23 October 2024,24 October 2024,1,Illness
Chris Livingston,Bucks,26 April 2024,29 April 2024,3,Illness
Miles McBride,Knicks,12 April 2024,13 April 2024,1,Illness
JaVale McGee,Kings,11 April 2024,12 April 2024,1,Illness
Oshae Brissett,Celtics,11 April 2024,12 April 2024,1,Illness
Amari Bailey,Hornets,03 April 2024,10 April 2024,7,Illness
LeBron James,Lakers,07 April 2024,09 April 2024,2,Illness
Mo Bamba,76ers,02 April 2024,07 April 2024,5,Illness
Marcus Sasser,Pistons,29 March 2024,03 April 2024,5,Illness
Aleksej Pokusevski,Hornets,31 March 2024,01 April 2024,1,Illness
Santi Aldama,Grizzlies,30 March 2024,01 April 2024,2,Illness
Jimmy Butler,Heat,26 March 2024,29 March 2024,3,Illness
AJ Green,Bucks,24 March 2024,25 March 2024,1,Illness
D'Angelo Russell,Lakers,24 March 2024,25 March 2024,1,Illness
JD Davison,Celtics,18 March 2024,19 March 2024,1,Illness
Larry Nance Jr.,Pelicans,16 March 2024,18 March 2024,2,Illness
Bogdan Bogdanovic,Hawks,15 March 2024,17 March 2024,2,Illness
James Johnson,Pacers,12 March 2024,13 March 2024,1,Illness
Justin Minaya,Blazers,11 March 2024,13 March 2024,2,Illness
RJ Barrett,Raptors,09 March 2024,11 March 2024,2,Illness
Gary Payton II,Warriors,09 March 2024,10 March 2024,1,Illness
Lonnie Walker IV,Nets,09 March 2024,10 March 2024,1,Illness
Keyonte George,Jazz,06 March 2024,09 March 2024,3,Illness
Cameron Payne,76ers,03 March 2024,05 March 2024,2,Illness
Ivica Zubac,Clippers,28 February 2024,03 March 2024,4,Illness
Jordan Clarkson,Jazz,02 March 2024,03 March 2024,1,Illness
Jonathan Isaac,Magic,29 February 2024,02 March 2024,2,Illness
Luke Kennard,Grizzlies,27 February 2024,02 March 2024,4,Illness
Chris Boucher,Raptors,28 February 2024,01 March 2024,2,Illness
Andre Jackson Jr.,Bucks,27 February 2024,29 February 2024,2,Illness
Paolo Banchero,Magic,25 February 2024,29 February 2024,4,Illness
Corey Kispert,Wizards,25 February 2024,27 February 2024,2,Illness
Alex Len,Kings,25 February 2024,26 February 2024,1,Illness
Brandon Ingram,Pelicans,22 February 2024,25 February 2024,3,Illness
Donovan Mitchell,Cavaliers,22 February 2024,25 February 2024,3,Illness
AJ Griffin,Hawks,12 February 2024,23 February 2024,11,Illness
Gary Payton II,Warriors,22 February 2024,23 February 2024,1,Illness
Wesley Matthews,Hawks,09 February 2024,22 February 2024,13,Illness
Dean Wade,Cavaliers,12 February 2024,21 February 2024,9,Illness
James Johnson,Pacers,12 February 2024,21 February 2024,9,Illness
Kyle Kuzma,Wizards,14 February 2024,21 February 2024,7,Illness
Myles Turner,Pacers,14 February 2024,21 February 2024,7,Illness
Sam Merrill,Cavaliers,14 February 2024,21 February 2024,7,Illness
Bruno Fernando,Hawks,10 February 2024,12 February 2024,2,Illness
Jericho Sims,Knicks,06 February 2024,12 February 2024,6,Illness
Malcolm Brogdon,Blazers,08 February 2024,11 February 2024,3,Illness
Deandre Ayton,Blazers,08 February 2024,10 February 2024,2,Illness
Tyrese Maxey,76ers,09 February 2024,10 February 2024,1,Illness
Klay Thompson,Warriors,08 February 2024,09 February 2024,1,Illness
Luke Kennard,Grizzlies,08 February 2024,09 February 2024,1,Illness
Bennedict Mathurin,Pacers,06 February 2024,08 February 2024,2,Illness
Tobias Harris,76ers,03 February 2024,05 February 2024,2,Illness
Dario Saric,Warriors,01 February 2024,04 February 2024,3,Illness
Jamal Cain,Heat,02 February 2024,04 February 2024,2,Illness
Jordan Poole,Wizards,31 January 2024,02 February 2024,2,Illness
Landry Shamet,Wizards,30 January 2024,02 February 2024,3,Illness
Klay Thompson,Warriors,30 January 2024,01 February 2024,2,Illness
T.J. McConnell,Pacers,30 January 2024,01 February 2024,2,Illness
Tobias Harris,76ers,25 January 2024,29 January 2024,4,Illness
Maxwell Lewis,Lakers,24 January 2024,27 January 2024,3,Illness
Mike Conley,Timberwolves,24 January 2024,25 January 2024,1,Illness
Patrick Beverley,76ers,22 January 2024,24 January 2024,2,Illness
Anfernee Simons,Blazers,19 January 2024,21 January 2024,2,Illness
Josh Green,Mavericks,17 January 2024,21 January 2024,4,Illness
Patrick Beverley,76ers,20 January 2024,21 January 2024,1,Illness
Luguentz Dort,Thunder,18 January 2024,20 January 2024,2,Illness
Ousmane Dieng,Thunder,18 January 2024,20 January 2024,2,Illness
Trae Young,Hawks,19 January 2024,20 January 2024,1,Illness
Yuta Watanabe,Suns,16 January 2024,18 January 2024,2,Illness
Gary Trent Jr.,Raptors,15 January 2024,17 January 2024,2,Illness
Chris Livingston,Bucks,14 January 2024,16 January 2024,2,Illness
Matisse Thybulle,Blazers,14 January 2024,16 January 2024,2,Illness
Johnny Davis,Wizards,13 January 2024,15 January 2024,2,Illness
Lindy Waters III,Thunder,13 January 2024,15 January 2024,2,Illness
Admiral Schofield,Magic,09 January 2024,13 January 2024,4,Illness
Al Horford,Celtics,11 January 2024,13 January 2024,2,Illness
Drew Eubanks,Suns,11 January 2024,13 January 2024,2,Illness
Davis Bertans,Thunder,08 January 2024,11 January 2024,3,Illness
Olivier Sarr,Thunder,10 January 2024,11 January 2024,1,Illness
Jose Alvarado,Pelicans,06 January 2024,10 January 2024,4,Illness
Udoka Azubuike,Suns,08 January 2024,10 January 2024,2,Illness
Furkan Korkmaz,76ers,02 January 2024,09 January 2024,7,Illness
R.J. Hampton,Heat,08 January 2024,09 January 2024,1,Illness
RJ Hampton,Heat,08 January 2024,09 January 2024,1,Illness
Goga Bitadze,Magic,05 January 2024,07 January 2024,2,Illness
Markieff Morris,Mavericks,05 January 2024,07 January 2024,2,Illness
Jeremiah Robinson-Earl,Pelicans,03 January 2024,05 January 2024,2,Illness
Anfernee Simons,Blazers,28 December 2023,03 January 2024,6,Illness
Marjon Beauchamp,Bucks,01 January 2024,02 January 2024,1,Illness
Onyeka Okongwu,Hawks,31 December 2023,02 January 2024,2,Illness
Terry Rozier,Hornets,01 January 2024,02 January 2024,1,Illness
Jaden Springer,76ers,30 December 2023,01 January 2024,2,Illness
Seth Curry,Mavericks,30 December 2023,01 January 2024,2,Illness
Devonte' Graham,Spurs,27 December 2023,31 December 2023,4,Illness
John Konchar,Grizzlies,29 December 2023,31 December 2023,2,Illness
Quentin Grimes,Knicks,30 December 2023,31 December 2023,1,Illness
Donovan Mitchell,Cavaliers,20 December 2023,29 December 2023,9,Illness
Ja Morant,Grizzlies,28 December 2023,29 December 2023,1,Illness
Santi Aldama,Grizzlies,28 December 2023,29 December 2023,1,Illness
John Konchar,Grizzlies,26 December 2023,28 December 2023,2,Illness
Killian Hayes,Pistons,18 December 2023,28 December 2023,10,Illness
Lamar Stevens,Celtics,25 December 2023,28 December 2023,3,Illness
Larry Nance Jr.,Pelicans,29 November 2023,28 December 2023,29,Illness
Haywood Highsmith,Heat,25 December 2023,27 December 2023,2,Illness
Reggie Bullock,Rockets,22 December 2023,26 December 2023,4,Illness
Andrew Wiggins,Warriors,22 December 2023,25 December 2023,3,Illness
Mo Bamba,76ers,22 December 2023,25 December 2023,3,Illness
DaQuan Jeffries,Knicks,23 December 2023,24 December 2023,1,Illness
Zion Williamson,Pelicans,21 December 2023,23 December 2023,2,Illness
Omer Yurtseven,Jazz,16 December 2023,22 December 2023,6,Illness
Robert Covington,76ers,20 December 2023,22 December 2023,2,Illness
Paul George,Clippers,20 December 2023,21 December 2023,1,Illness
Amen Thompson,Rockets,13 December 2023,20 December 2023,7,Illness
Luka Samanic,Jazz,13 December 2023,18 December 2023,5,Illness
Malik Beasley,Bucks,16 December 2023,18 December 2023,2,Illness
Dalano Banton,Celtics,15 December 2023,17 December 2023,2,Illness
Jae'Sean Tate,Rockets,15 December 2023,17 December 2023,2,Illness
Richaun Holmes,Mavericks,16 December 2023,17 December 2023,1,Illness
Tre Jones,Spurs,15 December 2023,17 December 2023,2,Illness
Seth Curry,Mavericks,14 December 2023,16 December 2023,2,Illness
Desmond Bane,Grizzlies,13 December 2023,15 December 2023,2,Illness
Daniel Theis,Clippers,08 December 2023,12 December 2023,4,Illness
Jock Landale,Rockets,06 December 2023,12 December 2023,6,Illness
Trae Young,Hawks,08 December 2023,12 December 2023,4,Illness
Chris Paul,Warriors,08 December 2023,11 December 2023,3,Illness
DaQuan Jeffries,Knicks,05 December 2023,07 December 2023,2,Illness
Evan Fournier,Knicks,05 December 2023,07 December 2023,2,Illness
Doug McDermott,Spurs,30 November 2023,05 December 2023,5,Illness
Ziaire Williams,Grizzlies,02 December 2023,05 December 2023,3,Illness
Joel Embiid,76ers,29 November 2023,04 December 2023,5,Illness
Tyrese Maxey,76ers,01 December 2023,04 December 2023,3,Illness
Davion Mitchell,Kings,02 December 2023,03 December 2023,1,Illness
Jaden Springer,76ers,25 November 2023,01 December 2023,6,Illness
Grayson Allen,Suns,26 November 2023,30 November 2023,4,Illness
Thaddeus Young,Raptors,17 November 2023,24 November 2023,7,Illness
Jaylen Brown,Celtics,15 November 2023,17 November 2023,2,Illness
Sam Merrill,Cavaliers,07 November 2023,13 November 2023,6,Illness
Jaden Ivey,Pistons,05 November 2023,12 November 2023,7,Illness
Nikola Jovic,Heat,06 November 2023,11 November 2023,5,Illness
R.J. Hampton,Heat,06 November 2023,11 November 2023,5,Illness
RJ Hampton,Heat,06 November 2023,11 November 2023,5,Illness
Gary Payton II,Warriors,08 November 2023,10 November 2023,2,Illness
Ayo Dosunmu,Bulls,03 November 2023,06 November 2023,3,Illness
Markieff Morris,Mavericks,03 November 2023,05 November 2023,2,Illness
Marjon Beauchamp,Bucks,30 October 2023,01 November 2023,2,Illness
Dean Wade,Cavaliers,25 October 2023,27 October 2023,2,Illness
Dwight Powell,Mavericks,25 October 2023,27 October 2023,2,Illness
Austin Rivers,Timberwolves,29 March 2023,09 April 2023,11,Illness
Kentavious Caldwell-Pope,Nuggets,06 April 2023,08 April 2023,2,Illness
RJ Barrett,Knicks,02 April 2023,07 April 2023,5,Illness
Delon Wright,Wizards,04 April 2023,06 April 2023,2,Illness
Trae Young,Hawks,04 April 2023,05 April 2023,1,Illness
Derrick Rose,Knicks,29 March 2023,04 April 2023,6,Illness
Tobias Harris,76ers,31 March 2023,01 April 2023,1,Illness
Danny Green,Cavaliers,26 March 2023,31 March 2023,5,Illness
Dean Wade,Cavaliers,26 March 2023,31 March 2023,5,Illness
Kelly Olynyk,Jazz,29 March 2023,31 March 2023,2,Illness
Buddy Hield,Pacers,27 March 2023,30 March 2023,3,Illness
Cory Joseph,Pistons,24 March 2023,27 March 2023,3,Illness
Tim Hardaway Jr.,Mavericks,22 March 2023,26 March 2023,4,Illness
Dejounte Murray,Hawks,21 March 2023,24 March 2023,3,Illness
Trey Lyles,Kings,28 November 2022,20 March 2023,112,Illness
Nassir Little,Blazers,17 March 2023,19 March 2023,2,Illness
Alex Caruso,Bulls,15 March 2023,17 March 2023,2,Illness
Tre Jones,Spurs,12 March 2023,15 March 2023,3,Illness
Giannis Antetokounmpo,Bucks,07 March 2023,09 March 2023,2,Illness
Walker Kessler,Jazz,07 March 2023,09 March 2023,2,Illness
Richaun Holmes,Kings,03 March 2023,06 March 2023,3,Illness
Rudy Gobert,Timberwolves,26 February 2023,28 February 2023,2,Illness
Evan Fournier,Knicks,23 February 2023,25 February 2023,2,Illness
Luke Kennard,Grizzlies,22 February 2023,25 February 2023,3,Illness
CJ McCollum,Pelicans,23 November 2022,15 February 2023,84,Illness
Jayson Tatum,Celtics,14 February 2023,15 February 2023,1,Illness
Jaylen Brown,Celtics,06 February 2023,08 February 2023,2,Illness
Trae Young,Hawks,04 February 2023,06 February 2023,2,Illness
De'Aaron Fox,Kings,02 February 2023,05 February 2023,3,Illness
Hamidou Diallo,Pistons,30 January 2023,02 February 2023,3,Illness
Daniel Gafford,Wizards,30 January 2023,01 February 2023,2,Illness
Patrick Beverley,Lakers,12 January 2023,16 January 2023,4,Illness
Kevin Huerter,Kings,11 January 2023,15 January 2023,4,Illness
Rodney McGruder,Pistons,08 January 2023,10 January 2023,2,Illness
Steven Adams,Grizzlies,08 January 2023,09 January 2023,1,Illness
Jusuf Nurkic,Blazers,30 December 2022,02 January 2023,3,Illness
Bam Adebayo,Heat,26 December 2022,28 December 2022,2,Illness
Jarrett Culver,Hawks,27 December 2022,28 December 2022,1,Illness
Seth Curry,Nets,26 December 2022,28 December 2022,2,Illness
Trey Murphy III,Pelicans,26 December 2022,28 December 2022,2,Illness
Donte DiVincenzo,Warriors,20 December 2022,25 December 2022,5,Illness
Tim Hardaway Jr.,Mavericks,19 December 2022,21 December 2022,2,Illness
James Johnson,Pacers,10 December 2022,12 December 2022,2,Illness
Serge Ibaka,Bucks,27 November 2022,07 December 2022,10,Illness
T.J. McConnell,Pacers,04 December 2022,07 December 2022,3,Illness
Bones Hyland,Nuggets,23 November 2022,30 November 2022,7,Illness
David Duke Jr.,Nets,27 November 2022,30 November 2022,3,Illness
Santi Aldama,Grizzlies,25 November 2022,27 November 2022,2,Illness
De'Andre Hunter,Hawks,21 November 2022,23 November 2022,2,Illness
Aaron Gordon,Nuggets,16 November 2022,22 November 2022,6,Illness
Richaun Holmes,Kings,17 November 2022,20 November 2022,3,Illness
Naz Reid,Timberwolves,13 November 2022,16 November 2022,3,Illness
Grayson Allen,Bucks,11 November 2022,14 November 2022,3,Illness
Jeremy Sochan,Spurs,30 October 2022,02 November 2022,3,Illness
Paul George,Clippers,24 October 2022,26 October 2022,2,Illness
Serge Ibaka,Bucks,09 May 2022,10 May 2022,1,Illness
Luca Vildoza,Bucks,24 April 2022,26 April 2022,2,Illness
Frank Ntilikina,Mavericks,10 April 2022,25 April 2022,15,Illness
Donovan Mitchell,Jazz,10 April 2022,16 April 2022,6,Illness
Serge Ibaka,Bucks,10 April 2022,16 April 2022,6,Illness
Paul Millsap,76ers,10 April 2022,15 April 2022,5,Illness
Dejounte Murray,Spurs,01 April 2022,10 April 2022,9,Illness
Marquese Chriss,Mavericks,08 April 2022,10 April 2022,2,Illness
Santi Aldama,Grizzlies,09 April 2022,10 April 2022,1,Illness
James Johnson,Nets,04 April 2022,07 April 2022,3,Illness
Brandon Boston Jr,Clippers,25 March 2022,04 April 2022,10,Illness
Bruce Brown,Nets,02 April 2022,04 April 2022,2,Illness
Carmelo Anthony,Lakers,01 April 2022,03 April 2022,2,Illness
JaVale McGee,Suns,26 March 2022,01 April 2022,6,Illness
Josh Jackson,Kings,28 March 2022,30 March 2022,2,Illness
Facundo Campazzo,Nuggets,26 March 2022,28 March 2022,2,Illness
Serge Ibaka,Bucks,26 March 2022,28 March 2022,2,Illness
RJ Nembhard,Cavaliers,26 March 2022,27 March 2022,1,Illness
Trey Burke,Mavericks,24 March 2022,27 March 2022,3,Illness
Jalen Smith,Pacers,23 March 2022,26 March 2022,3,Illness
Marcus Smart,Celtics,21 March 2022,23 March 2022,2,Illness
Olivier Sarr,Thunder,21 March 2022,23 March 2022,2,Illness
Andre Drummond,Nets,21 March 2022,22 March 2022,1,Illness
Cameron Payne,Suns,20 March 2022,22 March 2022,2,Illness
Wayne Ellington,Lakers,18 March 2022,21 March 2022,3,Illness
Hassan Whiteside,Jazz,18 March 2022,20 March 2022,2,Illness
Nemanja Bjelica,Warriors,16 March 2022,20 March 2022,4,Illness
Andrew Wiggins,Warriors,14 March 2022,19 March 2022,5,Illness
Cade Cunningham,Pistons,15 March 2022,19 March 2022,4,Illness
Carmelo Anthony,Lakers,18 March 2022,19 March 2022,1,Illness
Aaron Wiggins,Thunder,13 March 2022,15 March 2022,2,Illness
Justin Holiday,Kings,14 March 2022,15 March 2022,1,Illness
Christian Wood,Rockets,07 March 2022,12 March 2022,5,Illness
Doug McDermott,Spurs,11 March 2022,12 March 2022,1,Illness
Frank Ntilikina,Mavericks,07 March 2022,11 March 2022,4,Illness
Hamidou Diallo,Pistons,07 March 2022,08 March 2022,1,Illness
Elijah Hughes,Blazers,05 March 2022,07 March 2022,2,Illness
Greg Brown,Blazers,05 March 2022,07 March 2022,2,Illness
Taj Gibson,Knicks,06 March 2022,07 March 2022,1,Illness
Wendell Carter Jr.,Magic,04 March 2022,07 March 2022,3,Illness
Austin Rivers,Nuggets,04 March 2022,06 March 2022,2,Illness
Nikola Jokic,Nuggets,04 March 2022,06 March 2022,2,Illness
Thaddeus Young,Raptors,03 March 2022,04 March 2022,1,Illness
Klay Thompson,Warriors,27 February 2022,02 March 2022,3,Illness
Malik Beasley,Timberwolves,25 February 2022,28 February 2022,3,Illness
Kevin Porter Jr.,Rockets,16 February 2022,24 February 2022,8,Illness
Christian Wood,Rockets,16 February 2022,17 February 2022,1,Illness
Terry Taylor,Pacers,11 February 2022,12 February 2022,1,Illness
Jonas Valanciunas,Pelicans,28 January 2022,31 January 2022,3,Illness
Will Barton,Nuggets,28 January 2022,30 January 2022,2,Illness
Day'Ron Sharpe,Nets,26 January 2022,28 January 2022,2,Illness
Jarrett Allen,Cavaliers,24 January 2022,26 January 2022,2,Illness
Markus Howard,Nuggets,23 January 2022,25 January 2022,2,Illness
Bones Hyland,Nuggets,23 January 2022,24 January 2022,1,Illness
Frank Ntilikina,Mavericks,23 January 2022,24 January 2022,1,Illness
Austin Rivers,Nuggets,15 January 2022,18 January 2022,3,Illness
James Johnson,Nets,15 January 2022,18 January 2022,3,Illness
